feature,readable_feature,observed_value,training_median,original_event_risk,counterfactual_event_risk,risk_change_when_observed,absolute_risk_change
log_robust_range_channel_iqr_last,log robust range channel iqr — most recent interval,1.1600587939310918,0.5692904920024273,0.5193407950483999,0.5199188033690477,-0.0005780083206478048,0.0005780083206478048
hjorth_complexity_last,Hjorth complexity — most recent interval,3.725698295809711,2.565193882139847,0.5193407950483999,0.5187911742455923,0.0005496208028076266,0.0005496208028076266
hjorth_mobility_channel_p90_slope,hjorth mobility channel p90 — two-minute trend,0.0015905270764785,-4.585095887883909e-06,0.5193407950483999,0.5198186237945772,-0.0004778287461773001,0.0004778287461773001
log_robust_range_channel_p90_slope,log robust range channel p90 — two-minute trend,-0.0051829531128845,-0.00014575600382315,0.5193407950483999,0.518922455021626,0.00041834002677387794,0.00041834002677387794
log_line_length_channel_iqr_std,log line length channel iqr — context variability,0.0916660396888879,0.08149098574088401,0.5193407950483999,0.518943892297696,0.0003969027507039202,0.0003969027507039202
log_robust_range_slope,log robust peak-to-peak range — two-minute trend,-0.0017173528947341,-0.00010482618225759999,0.5193407950483999,0.5197128188579236,-0.00037202380952372494,0.00037202380952372494
log_line_length_channel_p90_last,log line length channel p90 — most recent interval,2.449311363128182,1.9503569469686535,0.5193407950483999,0.5197092398912045,-0.0003684448428046272,0.0003684448428046272
zero_crossing_rate_std,zero-crossing rate — context variability,0.0346091852908656,0.0338809193638407,0.5193407950483999,0.5197071380096989,-0.00036634296129900434,0.00036634296129900434
hjorth_complexity_channel_p90_slope,hjorth complexity channel p90 — two-minute trend,-0.0276772590961535,-0.00046871701669975,0.5193407950483999,0.5196859818360097,-0.0003451867876097525,0.0003451867876097525
log_robust_range_last,log robust peak-to-peak range — most recent interval,3.918671036551353,3.4333600051394897,0.5193407950483999,0.5196711046486123,-0.0003303096002124084,0.0003303096002124084
log_robust_range_channel_p90_last,log robust range channel p90 — most recent interval,5.050052874441789,4.112623635389689,0.5193407950483999,0.5196453759450861,-0.0003045808966861685,0.0003045808966861685
hjorth_complexity_channel_p90_last,hjorth complexity channel p90 — most recent interval,6.19725852881455,3.934143843737744,0.5193407950483999,0.5190440321003451,0.0002967629480548073,0.0002967629480548073
hjorth_mobility_channel_iqr_slope,hjorth mobility channel iqr — two-minute trend,0.0004064312430125,-2.6799465366418664e-05,0.5193407950483999,0.5190716360038945,0.00026915904450541817,0.00026915904450541817
hjorth_complexity_channel_iqr_std,hjorth complexity channel iqr — context variability,0.7406701172007164,0.5325907508036027,0.5193407950483999,0.5195797320887448,-0.0002389370403448332,0.0002389370403448332
log_line_length_mean,log line length — context mean,1.6919414711606189,1.635802875120464,0.5193407950483999,0.5191268533459221,0.00021394170247779343,0.00021394170247779343
log_rms_channel_p90_last,log rms channel p90 — most recent interval,3.8426768028596,3.0014302319234734,0.5193407950483999,0.5191306311193136,0.00021016392908634884,0.00021016392908634884
median_absolute_channel_correlation_last,median absolute channel correlation — most recent interval,0.5127737691893695,0.3461732960516608,0.5193407950483999,0.5194196453256039,-7.885027720400117e-05,7.885027720400117e-05
log_line_length_channel_p90_slope,log line length channel p90 — two-minute trend,-0.0015361024039265,-6.321067813040426e-05,0.5193407950483999,0.5192658479152157,7.49471331842333e-05,7.49471331842333e-05
log_robust_range_channel_p90_std,log robust range channel p90 — context variability,0.45765713954412,0.42531919283888453,0.5193407950483999,0.5192680571048025,7.273794359741181e-05,7.273794359741181e-05
zero_crossing_rate_channel_p90_slope,zero crossing rate channel p90 — two-minute trend,0.0003169142701376,-7.250919994548215e-06,0.5193407950483999,0.5194002119668286,-5.941691842870078e-05,5.941691842870078e-05
hjorth_mobility_last,Hjorth mobility — most recent interval,0.4161406685528355,0.5704072722347091,0.5193407950483999,0.5192921447031392,4.865034526069234e-05,4.865034526069234e-05
log_mad_slope,log robust amplitude — two-minute trend,-0.0021966704866374,-9.55416264200216e-05,0.5193407950483999,0.5193838191963274,-4.3024147927450684e-05,4.3024147927450684e-05
usable_channel_fraction_last,usable-channel fraction — most recent interval,1.0,1.0,0.5193407950483999,0.5193407950483999,0.0,0.0
usable_channel_fraction_std,usable-channel fraction — context variability,0.0,0.0,0.5193407950483999,0.5193407950483999,0.0,0.0
usable_channel_fraction_mean,usable-channel fraction — context mean,1.0,1.0,0.5193407950483999,0.5193407950483999,0.0,0.0
zero_crossing_rate_channel_iqr_last,zero crossing rate channel iqr — most recent interval,0.0626959247648902,0.0752351097178683,0.5193407950483999,0.5193407950483999,0.0,0.0
median_absolute_channel_correlation_std,median absolute channel correlation — context variability,0.0630616960394764,0.06303227058204845,0.5193407950483999,0.5193407950483999,0.0,0.0
log_mad_channel_iqr_slope,log mad channel iqr — two-minute trend,-0.0007691108777227,-6.443759242102774e-05,0.5193407950483999,0.5193407950483999,0.0,0.0
log_line_length_channel_iqr_slope,log line length channel iqr — two-minute trend,-0.0001949974837514,-3.4475094987501925e-05,0.5193407950483999,0.5193407950483999,0.0,0.0
log_line_length_std,log line length — context variability,0.1248062629939768,0.12362280342502065,0.5193407950483999,0.5193407950483999,0.0,0.0
usable_channel_fraction_slope,usable-channel fraction — two-minute trend,0.0,0.0,0.5193407950483999,0.5193407950483999,0.0,0.0
