absolute_episode_bin,interval_start_seconds,interval_end_seconds,seconds_ahead_start,seconds_ahead_end,onset_probability,timing_probability_given_event,cumulative_onset_probability,survival_probability,state_elapsed_seconds
33,160,165,160,165,0.006601264831071031,0.01673847905972084,0.2376758301908188,0.7623241698091812,0
34,165,170,165,170,0.0069548827872323955,0.017635129460184768,0.2446307129780512,0.7553692870219488,0
35,170,175,170,175,0.006891431572513269,0.017474239561647304,0.2515221445505645,0.7484778554494356,0
36,175,180,175,180,0.005999417222557487,0.015212405822236055,0.25752156177312197,0.7424784382268781,0
37,180,185,180,185,0.005951328950141322,0.015090470926204087,0.2634728907232633,0.7365271092767367,0
38,185,190,185,190,0.005699503677376202,0.014451930864146987,0.2691723944006395,0.7308276055993606,0
39,190,195,190,195,0.006081715914585943,0.015421086274908824,0.27525411031522545,0.7247458896847745,0
40,195,200,195,200,0.00586573729555596,0.014873440682057454,0.2811198476107814,0.7188801523892185,0
41,200,205,200,205,0.0058182628986532875,0.014753062357787235,0.2869381105094347,0.7130618894905654,0
42,205,210,205,210,0.00530287307247646,0.013446215558905766,0.29224098358191114,0.7077590164180889,0
43,210,215,210,215,0.005263436856297685,0.013346219225537038,0.29750442043820885,0.7024955795617911,0
44,215,220,215,220,0.005224293917956271,0.013246966541312065,0.3027287143561651,0.6972712856438349,0
45,220,225,220,225,0.005185442076414122,0.013148451975887586,0.30791415643257924,0.6920858435674208,0
46,225,230,225,230,0.005208094376923661,0.013205890219532767,0.3131222508095029,0.6868777491904972,0
47,230,235,230,235,0.005461100109896213,0.013847423512276498,0.3185833509193991,0.6814166490806008,0
48,235,240,235,240,0.006351120070294594,0.01610420018327771,0.3249344709896937,0.6750655290103063,0
49,240,245,240,245,0.006291924677576023,0.015954101548121002,0.3312263956672697,0.6687736043327304,0
50,245,250,245,250,0.0060834841518790485,0.015425569900950299,0.33730987981914873,0.6626901201808513,0
51,250,255,250,255,0.00573105605888988,0.01453193657377481,0.34304093587803863,0.6569590641219614,0
52,255,260,255,260,0.005827985744548504,0.014777716065308854,0.34886892162258715,0.6511310783774129,0
53,260,265,260,265,0.005776284779155698,0.01464662065424133,0.35464520640174285,0.6453547935982571,0
54,265,270,265,270,0.005605680104915142,0.014214027380021376,0.360250886506658,0.639749113493342,0
55,270,275,270,275,0.0050993423420566735,0.012930133420660671,0.36535022884871465,0.6346497711512853,0
56,275,280,275,280,0.00504296652169833,0.012787184226424267,0.370393195370413,0.6296068046295871,0
57,280,285,280,285,0.005321984632913182,0.013494675734698586,0.37571518000332615,0.6242848199966738,0
58,285,290,285,290,0.005276998587297573,0.01338060699154314,0.38099217859062373,0.6190078214093763,0
59,290,295,290,295,0.006728793732105114,0.017061847367779142,0.38772097232272884,0.6122790276772712,0
60,295,300,295,300,0.0066556498015710374,0.01687638016097543,0.39437662212429986,0.6056233778757001,0
2,5,10,0,5,0.006045468874926948,0.016598055620788376,0.006045468874926948,0.993954531125073,5
3,10,15,5,10,0.0060089211810092375,0.016497712592148595,0.012054390055936184,0.9879456099440638,5
4,15,20,10,15,0.005972594435037557,0.01639797618416527,0.01802698449097374,0.9819730155090263,5
5,20,25,15,20,0.005936487301277975,0.016298842729532102,0.023963471792251716,0.9760365282077483,5
