feature,readable_feature,importance_nll_increase,importance_std,baseline_validation_nll,repeats
zero_crossing_rate_channel_iqr_last,zero crossing rate channel iqr — most recent interval,0.0015594101378451075,0.0,0.9031190673388064,1
log_rms_last,log RMS amplitude — most recent interval,0.0014778913414371653,0.0,0.9031190673388064,1
zero_crossing_rate_channel_p90_last,zero crossing rate channel p90 — most recent interval,0.0014317630231533984,0.0,0.9031190673388064,1
log_rms_channel_p90_last,log rms channel p90 — most recent interval,0.0013904640026236592,0.0,0.9031190673388064,1
log_mad_last,log robust amplitude — most recent interval,0.0013781548784153053,0.0,0.9031190673388064,1
zero_crossing_rate_last,zero-crossing rate — most recent interval,0.001132352537066228,0.0,0.9031190673388064,1
hjorth_mobility_last,Hjorth mobility — most recent interval,0.0011110824454705348,0.0,0.9031190673388064,1
log_mad_channel_p90_last,log mad channel p90 — most recent interval,0.001106722751887057,0.0,0.9031190673388064,1
hjorth_mobility_channel_p90_last,hjorth mobility channel p90 — most recent interval,0.0008725815530266079,0.0,0.9031190673388064,1
log_robust_range_channel_p90_last,log robust range channel p90 — most recent interval,0.0008107787177639159,0.0,0.9031190673388064,1
hjorth_complexity_channel_p90_last,hjorth complexity channel p90 — most recent interval,0.0004917122709305888,0.0,0.9031190673388064,1
hjorth_complexity_channel_iqr_last,hjorth complexity channel iqr — most recent interval,0.0004378676922458524,0.0,0.9031190673388064,1
log_mad_channel_iqr_last,log mad channel iqr — most recent interval,0.00041796189307941045,0.0,0.9031190673388064,1
log_robust_range_channel_iqr_last,log robust range channel iqr — most recent interval,0.00033395418187820436,0.0,0.9031190673388064,1
log_rms_channel_iqr_last,log rms channel iqr — most recent interval,-0.0009319868308684809,0.0,0.9031190673388064,1
