threshold,sensitivity,time_in_warning,false_alarms_per_hour,captured_seizures,total_seizures,median_warning_lead_seconds
0.9999908788767558,0.71875,0.08515625,0.0,23.0,32.0,160.0
0.9999946576173289,0.6875,0.08020833333333334,0.0,22.0,32.0,160.0
0.9999967472174027,0.6875,0.075,0.0,22.0,32.0,157.5
0.9999981974901128,0.6875,0.07005208333333333,0.0,22.0,32.0,152.5
0.9999990445748144,0.6875,0.06510416666666667,0.0,22.0,32.0,150.0
0.9999994142375629,0.6875,0.06015625,0.0,22.0,32.0,145.0
0.9999996453877118,0.6875,0.05520833333333333,0.0,22.0,32.0,145.0
0.9999998054467834,0.65625,0.05,0.0,21.0,32.0,125.0
0.9999998988444333,0.65625,0.04505208333333333,0.0,21.0,32.0,110.0
0.9999999579045404,0.65625,0.04010416666666667,0.0,21.0,32.0,105.0
0.999999982650041,0.625,0.03515625,0.0,20.0,32.0,105.0
0.9999999952276243,0.59375,0.030208333333333334,0.0,19.0,32.0,105.0
0.9999999987373698,0.46875,0.025,0.0,15.0,32.0,80.0
0.9999999997119857,0.375,0.020052083333333335,0.0,12.0,32.0,120.0
0.9999999999813494,0.28125,0.015104166666666667,0.0,9.0,32.0,125.0
0.9999999999988994,0.21875,0.01015625,0.0,7.0,32.0,105.0
0.9999999999999968,0.09375,0.005208333333333333,0.0,3.0,32.0,105.0
1.0,0.09375,0.00390625,0.0,3.0,32.0,105.0
