target_patient,model,selection_population,rank,channel,selected_channels,validation_cross_entropy,validation_auprc,validation_brier
PN00,G,other_four_patients,14,C4,"C3, F7, P4, CP2, PZ, F9, O2, FC5, CP5, FZ, O1, FP2, CP1, C4",0.6256567452294044,0.24634873201744775,0.21677478058629934
PN00,G,other_four_patients,15,P3,"C3, F7, P4, CP2, PZ, F9, O2, FC5, CP5, FZ, O1, FP2, CP1, C4, P3",0.6269899490040447,0.24549514608628617,0.2173374863834617
PN00,G,other_four_patients,16,F10,"C3, F7, P4, CP2, PZ, F9, O2, FC5, CP5, FZ, O1, FP2, CP1, C4, P3, F10",0.628320274798089,0.2486106553153905,0.21798087050454026
PN00,G,other_four_patients,17,FC6,"C3, F7, P4, CP2, PZ, F9, O2, FC5, CP5, FZ, O1, FP2, CP1, C4, P3, F10, FC6",0.629927754231565,0.2471719104432495,0.218833602802361
PN00,G,other_four_patients,18,T6,"C3, F7, P4, CP2, PZ, F9, O2, FC5, CP5, FZ, O1, FP2, CP1, C4, P3, F10, FC6, T6",0.6313796116634488,0.24860517480470776,0.21961102572852506
PN00,G,other_four_patients,19,T3,"C3, F7, P4, CP2, PZ, F9, O2, FC5, CP5, FZ, O1, FP2, CP1, C4, P3, F10, FC6, T6, T3",0.633076912789748,0.2550611000974201,0.22038582287668673
PN00,G,other_four_patients,20,CZ,"C3, F7, P4, CP2, PZ, F9, O2, FC5, CP5, FZ, O1, FP2, CP1, C4, P3, F10, FC6, T6, T3, CZ",0.6348952808412093,0.24952399814745882,0.22106045064359883
PN00,G,other_four_patients,21,F3,"C3, F7, P4, CP2, PZ, F9, O2, FC5, CP5, FZ, O1, FP2, CP1, C4, P3, F10, FC6, T6, T3, CZ, F3",0.6365359560276195,0.24886525881939353,0.22181017601879557
PN00,G,other_four_patients,22,FP1,"C3, F7, P4, CP2, PZ, F9, O2, FC5, CP5, FZ, O1, FP2, CP1, C4, P3, F10, FC6, T6, T3, CZ, F3, FP1",0.6384337918117039,0.25130379893549015,0.22277128602067203
PN00,G,other_four_patients,23,T4,"C3, F7, P4, CP2, PZ, F9, O2, FC5, CP5, FZ, O1, FP2, CP1, C4, P3, F10, FC6, T6, T3, CZ, F3, FP1, T4",0.6408846413075621,0.25519389353823857,0.2240761973481432
PN00,G,other_four_patients,24,T5,"C3, F7, P4, CP2, PZ, F9, O2, FC5, CP5, FZ, O1, FP2, CP1, C4, P3, F10, FC6, T6, T3, CZ, F3, FP1, T4, T5",0.6432656137005038,0.25662151909692676,0.2253197403716337
PN00,G,other_four_patients,25,FC2,"C3, F7, P4, CP2, PZ, F9, O2, FC5, CP5, FZ, O1, FP2, CP1, C4, P3, F10, FC6, T6, T3, CZ, F3, FP1, T4, T5, FC2",0.6454951769342411,0.2510729635367795,0.226418566467186
PN00,G,other_four_patients,26,F4,"C3, F7, P4, CP2, PZ, F9, O2, FC5, CP5, FZ, O1, FP2, CP1, C4, P3, F10, FC6, T6, T3, CZ, F3, FP1, T4, T5, FC2, F4",0.6478396374725077,0.2504238354202939,0.22758792274397147
PN00,G,other_four_patients,27,CP6,"C3, F7, P4, CP2, PZ, F9, O2, FC5, CP5, FZ, O1, FP2, CP1, C4, P3, F10, FC6, T6, T3, CZ, F3, FP1, T4, T5, FC2, F4, CP6",0.6503388932775725,0.2519299381822497,0.22892082302027134
PN00,G,other_four_patients,28,F8,"C3, F7, P4, CP2, PZ, F9, O2, FC5, CP5, FZ, O1, FP2, CP1, C4, P3, F10, FC6, T6, T3, CZ, F3, FP1, T4, T5, FC2, F4, CP6, F8",0.6527186237748773,0.25314037174495085,0.23010186948605008
PN00,G,other_four_patients,29,FC1,"C3, F7, P4, CP2, PZ, F9, O2, FC5, CP5, FZ, O1, FP2, CP1, C4, P3, F10, FC6, T6, T3, CZ, F3, FP1, T4, T5, FC2, F4, CP6, F8, FC1",0.6567100920705229,0.24775300557532795,0.2320440122942556
PN06,P,personalized_training_events,1,FC6,FC6,0.6410987272725094,0.2673799856639577,0.22451490573274702
